zip,new_tenure,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall,P1,P2,Rank1,N1,N2,Rank2,Symbol,city,state
22153,349.8394,428.4032,14.93828,32047,48.91,39,64.75,56,10773,484102,1980,85.04,150674,138607,117,0.377049,0.367942,3,0.03602,0.041178,0.054709,VA,Springfield,Virginia
22172,299.5342,418.0119,24.28827,10971,50.44,31,40.85,88,3519,361584,1981,52.63,92541,84431,83,0.229508,0.236794,3,0.030841,0.040179,0.050651,VA,Triangle,Virginia
22180,356.75,434.9145,10.19906,22980,49.53,40,70,24,8279,584823,1967,75.83,144121,126631,123,0.395264,0.446266,3,0.036732,0.041804,0.055649,VA,Vienna,Virginia
22181,478.0382,438.7294,8.485529,15196,48.91,41,73.72,67,5481,678187,1979,78.9,183632,158383,129,0.819672,0.51184,4,0.04922,0.04217,0.064815,VA,Vienna,Virginia
22182,439.3631,439.2381,10.53226,25346,48.87,42,72.04,69,8765,746009,1982,82.49,202876,164952,126,0.73224,0.526412,4,0.045238,0.042219,0.061878,VA,Vienna,Virginia
22191,319.7595,415.8095,21.07184,58920,49.87,32,39.38,66,19251,324357,1985,60.51,98268,84782,91,0.265938,0.216758,3,0.032923,0.039967,0.051782,VA,Woodbridge,Virginia
22192,403.9191,428.5098,15.49206,57324,48.02,36,57.87,58,20680,352886,1984,73.13,121140,106884,111,0.604736,0.371585,3,0.041588,0.041188,0.058533,VA,Woodbridge,Virginia
22193,350.928,424.5312,17.84256,77223,49.11,33,44.23,48,23594,317256,1984,76.9,116505,97596,91,0.378871,0.324226,3,0.036132,0.040806,0.054504,VA,Woodbridge,Virginia
22201,561,509,19.09,36501,50.48,32,77.8,77,19401,625085,1977,33.12,127764,114196,166,0.907104,0.935337,5,0.057762,0.048925,0.075697,VA,Arlington,Virginia
22202,567.5,491.5,20.49,24038,49.16,37,72.6,91,13974,576660,1977,20.13,114756,103476,173,0.91439,0.888889,5,0.058431,0.047243,0.07514,VA,Arlington,Virginia
22203,359,514.75,16.4775,22112,50.54,34,69.34,78,11352,509667,1975,32.71,112523,96402,150,0.408015,0.938069,3,0.036964,0.049477,0.06176,VA,Arlington,Virginia
22205,608.2115,453.9231,16.45885,18353,50.06,38,83.29,89,6979,687925,1953,72.32,160079,142552,130,0.947177,0.704918,4,0.062623,0.043631,0.076323,VA,Arlington,Virginia
22206,395.5,485.5,21.295,19386,45.38,34,69.45,57,10330,403895,1968,46.15,113920,101325,160,0.58561,0.870674,4,0.040722,0.046666,0.061935,VA,Arlington,Virginia
22207,733.75,463.2333,17.068,31996,48.38,40,84.13,76,11645,795882,1955,78.93,197732,163238,126,0.976321,0.75592,4,0.075549,0.044526,0.087693,VA,Arlington,Virginia
22209,938,627,19.55,12823,51.2,32,68.96,100,7692,496590,1975,27.44,104773,88735,173,0.989071,0.997268,5,0.096579,0.060267,0.11384,VA,Arlington,Virginia
22213,882.125,462,15.21,3041,49.08,39,84.22,87,1127,697449,1963,81.83,184540,155563,131,0.981785,0.748634,4,0.090826,0.044407,0.1011,VA,Arlington,Virginia
22301,657.1818,494.7273,20.95636,11800,47.62,38,82.24,68,5137,646923,1946,64.75,149335,120958,139,0.961749,0.897996,5,0.067665,0.047553,0.082703,VA,Alexandria,Virginia
22302,417.7727,477.3182,20.07909,14924,46.56,39,76.58,59,7111,535303,1962,60.97,135534,114670,147,0.659381,0.825137,4,0.043015,0.045879,0.06289,VA,Alexandria,Virginia
22303,196.9091,413.7273,20.87727,13163,51.27,37,58.85,81,6531,356932,1969,44.05,98768,83850,140,0.060109,0.200364,2,0.020274,0.039767,0.044637,VA,Alexandria,Virginia
22304,243,483.8333,18.08167,46873,46.59,37,51.15,66,23325,418317,1974,39.87,98174,83434,134,0.129326,0.837887,2,0.02502,0.046506,0.052809,VA,Alexandria,Virginia
22305,316.85,492.3,20.588,17270,51.37,34,56.19,66,7262,515493,1966,38.96,107907,90119,115,0.255009,0.894353,3,0.032624,0.04732,0.057476,VA,Alexandria,Virginia
22306,324.3633,427.72,21.21187,32699,48.55,34,44.01,89,11827,385518,1972,47.98,92706,73440,95,0.282332,0.357013,3,0.033397,0.041112,0.052968,VA,Alexandria,Virginia
22307,460.4653,437.8333,21.93917,10073,46.57,44,82.8,95,4593,534453,1956,76.26,159744,119365,145,0.766849,0.497268,3,0.047411,0.042084,0.063394,VA,Alexandria,Virginia
22308,464.8295,471.3488,22.9938,12603,47.68,45,90.18,75,4588,629961,1961,89.91,167251,154444,129,0.775956,0.799636,4,0.04786,0.045306,0.065903,VA,Alexandria,Virginia
